source_key,path,size_bytes,sha256
ausnut_food_details,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AUSNUT_2023/extracted/AUSNUT 2023 - All Files/AUSNUT 2023 - Food details.xlsx,1568513,e7496d8fe2941ce80740f1731d7cb6e39836bc82d1a18d4007bc027780970293
ausnut_food_nutrients,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AUSNUT_2023/extracted/AUSNUT 2023 - All Files/AUSNUT 2023 - Food nutrient profiles.xlsx,1450758,dcd0c36932d63d01421aa218ad9c0b2271edea3aa6d7279daad4dae1f0701b94
ausnut_food_measures,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AUSNUT_2023/extracted/AUSNUT 2023 - All Files/AUSNUT 2023 - Food measures.xlsx,1488101,0dbbebd93c7fcd9e1fa3c99351f97a013bef0c044ae8ef0fa09164b72aaff775
ausnut_nutrient_list,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AUSNUT_2023/extracted/AUSNUT 2023 - All Files/AUSNUT 2023 - List of nutrients.xlsx,71138,c8af8f83cccf7824555034aeabb52c9a195d4910d6058bddf73c3f107102103c
ausnut_classification,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AUSNUT_2023/extracted/AUSNUT 2023 - All Files/AUSNUT 2023 - Food and dietary supplement classification system.xlsx,75858,c4d109e0d49e0be5e584d6a8c8447363cbb9af26ec3cbaf829b3bb733e2adf4c
afcd_food_details,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Food_Details.xlsx,1137444,69aa096c45cb0699db60a9c544442312e9ff09af587b99c42dc78bc26f689629
afcd_nutrient_profiles,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Nutrient_Profiles.xlsx,2107021,14cb3e73dbf58987b440e6299624c0fefd7a4e61591fc1f753995d9534e0efc9
afcd_nutrient_details,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Nutrient_Details.xlsx,107383,7c455129a90e65d29840ecd188fa223cca8bdf0729b21efebc286884d69fafaa
afcd_reference_list,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Reference_List.xlsx,69194,970bd41a4a85f172ca152c61561027c7970c70ed179e757a7b3c541e02497160
afcd_food_groups,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Food_Group_Information.xlsx,904432,e2d0507394ce5c2abe1f186d36058affa6d532c0d50ea18cf98908e368e17e90
afcd_recipes,/Users/syzygysyzygy/Downloads/Diabetes-Food-Library-Australia-Sources-Bootstrap/downloaded/AFCD_Release_3/AFCD_Release_3_Recipes.xlsx,109100,81925cd790b4d914e9016fe71e273e4b5823cbcea7d6aafc277ebbc160e762ef
